"Country","City","Latitude","Longitude"
"Egypt","Cairo","30.052723","31.295218"
"Namibia","Otjiwarongo","-20.492092","16.676737"
"Colombia","Medellin","6.2214413","-75.47659"
"Argentina","Parana","-31.739895","-60.50421"
"Russia","Moscow","55.782074","37.576374"
"Japan","Tokyo","35.676624","139.69112"
"Thailand","Bangkok","13.743409","100.495865"
"Netherlands","De Bilt","52.126537","5.1381216"
"Luxembourg","Luxembourg","49.59578","6.062176"
"United Kingdom","Sheffield","53.391914","-1.3714294"
"Estonia","Paide","58.875217","25.57047"
"Bulgaria","Plovdiv","42.14411","24.70073"
"United States","Nashville","36.168716","-86.727264"
"Mexico","Mexico City","19.437609","-99.10715"
"Australia","Sydney","-33.848858","151.19551"